sample,P1,Pinf,Pstep,discount_rate,diesel_price,N_mid,method,delta_lcoe_pct_raw,delta_lcoe_pct_corrected,switch_count,bias_correction_factor
65,3.319501783970952,1.510207311049924,2.3997589963939463,0.10630720338014778,2.08336227798473,29.785558105718973,full_OnSSET,46.357143829017005,41.772191653942485,4256.0,0.9010950244910345
66,3.7153709898689655,1.3137610839005078,2.2874734185219694,0.08388759017261946,2.218043834468865,31.625107550157004,full_OnSSET,46.266564558045914,41.69057112354841,4136.0,0.9010950244910345
67,4.593983015266559,1.2623992887719986,2.130902452746504,0.1128093584490975,2.2350009136611573,49.9182032929382,full_OnSSET,57.061638614916575,51.41795864520681,5033.0,0.9010950244910345
68,3.9263906263710218,1.3254187303328484,2.0626327129062734,0.06112152300263284,2.257080113391577,48.1107282526649,full_OnSSET,42.647003771236285,38.4290029077114,3770.0,0.9010950244910345
69,3.86059051573053,1.7640040101535737,2.060088794052609,0.07704893953548464,2.0724908925157774,33.42467303904978,full_OnSSET,29.11301078057028,26.23358916232573,4044.0,0.9010950244910345
70,3.972264454857262,1.8632317413198676,2.823804144819948,0.12358354627841192,1.8226677535950144,14.175117084440517,full_OnSSET,69.85082416268659,62.94223010959502,4928.0,0.9010950244910345
71,4.475586297228623,1.573742938368425,2.1802421603632602,0.10987986750463666,1.5822960051383899,31.508384556233867,full_OnSSET,45.97338736842199,41.42639061668403,4932.0,0.9010950244910345
72,4.502402465488059,1.7364933849022202,2.701156745412066,0.11401494187328921,1.9513233012166449,44.09905299826421,full_OnSSET,81.70289921617615,73.62207597018877,5045.0,0.9010950244910345
73,3.644039494655761,1.3893417432618287,2.4117475624924616,0.1279003218833537,1.8201731205373541,43.093364968383966,full_OnSSET,59.59069544710922,53.69687917335066,4770.0,0.9010950244910345
74,4.746288436964566,1.662356723700274,2.1896262160242435,0.09498920207906965,1.862972645352108,23.309572698353733,full_OnSSET,42.746631785918424,38.5187772160414,4725.0,0.9010950244910345
75,4.0998975019823085,1.4432962451230154,2.781826158731633,0.11516514249399853,1.878917638423288,41.781395420529094,full_OnSSET,79.5196467962372,71.65475807737377,4892.0,0.9010950244910345
76,3.74016796221077,1.6168554291011432,2.2926208925676557,0.10540126448207654,2.028206435328481,13.551573126567185,full_OnSSET,30.40327029603118,27.39623559200976,4472.0,0.9010950244910345
77,4.442574394150319,1.4704073552610062,2.6341046640423853,0.13542067255738013,2.196681850348892,37.04913986353783,full_OnSSET,77.13377356127971,69.50485957628725,5318.0,0.9010950244910345
